Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
6-Jan-21,Martin Landriau,,Jeffrey A. Newman,Adam Myers,Hee-Jong Seo,,
7-Jan-21,Martin Landriau,,Jeffrey A. Newman,Arjun Dey,Hee-Jong Seo,,
8-Jan-21,Martin Landriau,,Eddie Schlafly,Arjun Dey,Hee-Jong Seo,,
9-Jan-21,Martin Landriau,,Eddie Schlafly,Arjun Dey,John Della Costa,,
10-Jan-21,Martin Landriau,,Paul Martini,Arjun Dey,John Della Costa,,
11-Jan-21,Martin Landriau,,Paul Martini,Michael Walther,John Della Costa,,
12-Jan-21,Martin Landriau,,Paul Martini,Michael Walther,John Della Costa,,
13-Jan-21,Martin Landriau,,Paul Martini,Michael Walther,Héctor Gil Marín,,
14-Jan-21,Martin Landriau,,Antonella Palmese,Michael Walther,Héctor Gil Marín,,
15-Jan-21,Martin Landriau,,Antonella Palmese,Daniel Eisenstein,Héctor Gil Marín,,
16-Jan-21,Martin Landriau,,Antonella Palmese,Segev BenZvi,Héctor Gil Marín,,
17-Jan-21,Martin Landriau,,Daniel Eisenstein,Segev BenZvi,Kelly Douglass,,
18-Jan-21,Martin Landriau,,Daniel Eisenstein,Segev BenZvi,Kelly Douglass,,
19-Jan-21,Martin Landriau,,Aaron Meisner,Segev BenZvi,Kelly Douglass,,
20-Jan-21,Martin Landriau,,Aaron Meisner,Boris Gaensicke,Kelly Douglass,,
21-Jan-21,Martin Landriau,,Rongpu Zhou,Boris Gaensicke,Biprateep Dey,,
22-Jan-21,Martin Landriau,,Rongpu Zhou,Boris Gaensicke,Biprateep Dey,,
23-Jan-21,Martin Landriau,,Aaron Meisner,Rongpu Zhou,Biprateep Dey,,
24-Jan-21,Martin Landriau,,Rongpu Zhou,Rongpu Zhou,Biprateep Dey,,
25-Jan-21,None,,,,,,
26-Jan-21,None,,,,,,
27-Jan-21,None,,,,,,
28-Jan-21,None,,,,,,
29-Jan-21,James Lasker,,Satya Gontcho A Gontcho,Tanveer Karim,Claire Lamman,,
30-Jan-21,James Lasker,,Satya Gontcho A Gontcho,Tanveer Karim,Claire Lamman,,
31-Jan-21,James Lasker,,Satya Gontcho A Gontcho,Tanveer Karim,Claire Lamman,,
1-Feb-21,James Lasker,,Tanveer Karim,Michael Schubnell,Claire Lamman,,
2-Feb-21,James Lasker,,Elizabeth Buckley-Geer,Michael Schubnell,Ragadeepika Pucha,,
3-Feb-21,James Lasker,,Elizabeth Buckley-Geer,Boris Gaensicke,Ragadeepika Pucha,,
4-Feb-21,James Lasker,,Elizabeth Buckley-Geer,Boris Gaensicke,Ragadeepika Pucha,,
5-Feb-21,James Lasker,,Claire Poppett,Boris Gaensicke,Ragadeepika Pucha,,
6-Feb-21,James Lasker,,Claire Poppett,Christopher James Manser,Christoph Saulder,,
7-Feb-21,James Lasker,,John Della Costa,Christopher James Manser,Christoph Saulder,,
8-Feb-21,Arjun Dey,,John Della Costa,Christopher James Manser,Christoph Saulder,,
9-Feb-21,,,Satya Gontcho A Gontcho,Christopher James Manser,Christoph Saulder,,
10-Feb-21,,,,,,,
11-Feb-21,,,,,,,
12-Feb-21,Michael Schubnell,,Segev BenZvi,Christopher James Manser,Alex G. Kim,,
13-Feb-21,Michael Schubnell,,Segev BenZvi,Luke Tyas,Alex G. Kim,,
14-Feb-21,Satya Gontcho A Gontcho,Luke Tyas,Segev BenZvi,Dustin Lang,Stephanie Escoffier,,
15-Feb-21,Claire Poppett,Luke Tyas,Arjun Dey,Dustin Lang,Stephanie Escoffier,,
16-Feb-21,Claire Poppett,Luke Tyas,John Della Costa,Rongpu Zhou,Stephanie Escoffier,,
17-Feb-21,Satya Gontcho A Gontcho,Luke Tyas,John Della Costa,Rongpu Zhou,Stephanie Escoffier,,
18-Feb-21,Claire Poppett,Luke Tyas,Rongpu Zhou,Daniel Eisenstein,Marie-Claude Cousinou,,
19-Feb-21,Satya Gontcho A Gontcho,Luke Tyas,Rongpu Zhou,Daniel Eisenstein,Marie-Claude Cousinou,,
20-Feb-21,Martin Landriau,Luke Tyas,Paul Martini,Segev BenZvi,Marie-Claude Cousinou,,
21-Feb-21,Ann Elliott,,Paul Martini,Segev BenZvi,Marie-Claude Cousinou,,
22-Feb-21,Ann Elliott,,Antonella Palmese,Adam Myers,Vicky Fawcett,,
23-Feb-21,Ann Elliott,,Antonella Palmese,Adam Myers,Vicky Fawcett,,
24-Feb-21,Ann Elliott,,Michael Schubnell,Adam Myers,Vicky Fawcett,,
25-Feb-21,Ann Elliott,,Aaron Meisner,,,,
26-Feb-21,Ann Elliott,,Aaron Meisner,,,,
27-Feb-21,Ann Elliott,,Aaron Meisner,,,,
28-Feb-21,Ann Elliott,,John Della Costa,Boris Gaensicke,Samuel Moore,,
1-Mar-21,None,,,,,,
2-Mar-21,None,,,,,,
3-Mar-21,None,,,,,,
4-Mar-21,Ann Elliott,,Satya Gontcho A Gontcho,Daniel Eisenstein,Samuel Moore,,
5-Mar-21,Ann Elliott,,Satya Gontcho A Gontcho,Daniel Eisenstein,Chun Hao To,,
6-Mar-21,Ann Elliott,,Satya Gontcho A Gontcho,Christopher James Manser,Chun Hao To,,
7-Mar-21,Ann Elliott,,Claire Poppett,Christopher James Manser,Chun Hao To,,
8-Mar-21,Ann Elliott,,Elizabeth Buckley-Geer,Christopher James Manser,Chun Hao To,,
9-Mar-21,Ann Elliott,,Elizabeth Buckley-Geer,Christopher James Manser,Cullan Howlett,,
10-Mar-21,Ann Elliott,Claire Poppett,Elizabeth Buckley-Geer,Christopher James Manser,Cullan Howlett,,
11-Mar-21,Ann Elliott,,Dustin Lang,Christopher James Manser,Cullan Howlett,,
12-Mar-21,Ann Elliott,,Dustin Lang,Christopher James Manser,Cullan Howlett,,
13-Mar-21,Ann Elliott,,Dustin Lang,Christopher James Manser,Claire Lamman,,
14-Mar-21,Ann Elliott,,Dustin Lang,Andrew Cooper,K R Namitha,,
15-Mar-21,Satya Gontcho A Gontcho,,Arjun Dey,Andrew Cooper,K R Namitha,,
16-Mar-21,Satya Gontcho A Gontcho,,Arjun Dey,Andrew Cooper,K R Namitha,,
17-Mar-21,Satya Gontcho A Gontcho,,Stephanie Juneau,Andrew Cooper,K R Namitha,,
18-Mar-21,Satya Gontcho A Gontcho,,Stephanie Juneau,Andrew Cooper,K R Namitha,,
19-Mar-21,Satya Gontcho A Gontcho,,Stephanie Juneau,Daniel Eisenstein,Nikhil Padmanabhan,,
20-Mar-21,Satya Gontcho A Gontcho,,Segev BenZvi,Daniel Eisenstein,Gustavo Niz,,
21-Mar-21,James Lasker,Luke Tyas,Segev BenZvi,Michael Walther,Gustavo Niz,,
22-Mar-21,James Lasker,Luke Tyas,Segev BenZvi,Michael Walther,Gustavo Niz,,
23-Mar-21,James Lasker,Luke Tyas,Segev BenZvi,Michael Walther,Gustavo Niz,,
24-Mar-21,Satya Gontcho A Gontcho,,John Della Costa,Michael Walther,Gustavo Niz,,
25-Mar-21,Satya Gontcho A Gontcho,,John Della Costa,Michael Walther,Hui Kong,,
26-Mar-21,Satya Gontcho A Gontcho,,John Della Costa,Daniel Eisenstein,Johannes Ulf Lange,,
27-Mar-21,Satya Gontcho A Gontcho,,John Della Costa,Daniel Eisenstein,Johannes Ulf Lange,,
